animal,timestep,roi,side,value
3,2,gs,re,2050.529785
3,3,gs,re,2022.811279
3,4,gs,re,2041.651245
3,5,gs,re,2006.786377
3,6,gs,re,2026.276123
3,7,gs,re,2035.154663
3,8,gs,re,2018.91333
3,9,gs,re,2020.645752
3,10,gs,re,2031.906494
3,11,gs,re,2026.05957
3,12,gs,re,2027.358887
3,13,gs,re,2019.779541
3,14,gs,re,1933.808472
3,15,gs,re,1661.169556
3,16,gs,re,1549.861938
3,17,gs,re,1670.048218
3,18,gs,re,1902.191895
3,19,gs,re,1959.794678
3,20,gs,re,1968.240112
3,21,gs,re,1903.924316
3,22,gs,re,1912.369751
3,23,gs,re,1852.817993
3,24,gs,re,1886.166992
3,25,gs,re,1921.681519
3,26,gs,re,1958.062256
3,27,gs,re,1936.623535
3,28,gs,re,1948.750488
3,29,gs,re,1939.222168
3,30,gs,re,1953.081543
3,31,gs,re,1946.584961
3,32,gs,re,1956.979492
3,33,gs,re,1950.049805
3,34,gs,re,1944.419434
3,35,gs,re,1950.916016
3,36,gs,re,1968.673218
3,37,gs,re,1947.018066
3,38,gs,re,1950.699463
3,39,gs,re,1960.01123
4,0,gs,re,2448.51001
4,1,gs,re,2391.070557
4,2,gs,re,2357.883545
4,3,gs,re,2397.771973
4,4,gs,re,2405.749512
4,5,gs,re,2400.005615
4,6,gs,re,2455.530273
4,7,gs,re,2390.113281
4,8,gs,re,2413.089111
4,9,gs,re,2396.176514
4,10,gs,re,2353.735107
4,11,gs,re,2405.43042
4,12,gs,re,2383.093018
4,13,gs,re,2431.597168
4,14,gs,re,2280.97876
4,15,gs,re,2060.794678
4,16,gs,re,1972.721069
4,17,gs,re,2170.886719
4,18,gs,re,2308.102783
4,19,gs,re,2360.117188
4,20,gs,re,2325.334473
4,21,gs,re,2242.047607
4,22,gs,re,2221.624756
4,23,gs,re,2257.045654
4,24,gs,re,2246.834229
4,25,gs,re,2298.848633
4,26,gs,re,2318.952393
4,27,gs,re,2280.97876
4,28,gs,re,2245.23877
4,29,gs,re,2289.913574
4,30,gs,re,2282.893311
4,31,gs,re,2287.999023
4,32,gs,re,2301.401611
4,33,gs,re,2347.991211
4,34,gs,re,2305.230713
4,35,gs,re,2287.36084
4,36,gs,re,2278.425781
4,37,gs,re,2329.163818
4,38,gs,re,2329.48291
4,39,gs,re,2312.889404
5,0,gs,re,2209.321533
5,1,gs,re,2200.760498
5,2,gs,re,2188.952148
5,3,gs,re,2138.472168
5,4,gs,re,2206.664551
5,5,gs,re,2152.937012
5,6,gs,re,2175.077637
5,7,gs,re,2164.745361
5,8,gs,re,2189.837891
5,9,gs,re,2180.391357
5,10,gs,re,2145.261719
5,11,gs,re,2165.335693
5,12,gs,re,2190.428223
5,13,gs,re,2182.457764
5,14,gs,re,2127.25415
5,15,gs,re,2171.535156
5,16,gs,re,2101.276123
5,17,gs,re,1965.186157
5,18,gs,re,1817.287964
5,19,gs,re,1752.047485
5,20,gs,re,1857.435913
5,21,gs,re,1987.916992
5,22,gs,re,2074.70752
5,23,gs,re,2167.992676
5,24,gs,re,2168.583008
5,25,gs,re,2139.652832
5,26,gs,re,2170.94458
5,27,gs,re,2153.527588
5,28,gs,re,2166.221436
5,29,gs,re,2148.804199
5,30,gs,re,2109.837158
5,31,gs,re,2106.589844
5,32,gs,re,2116.922119
5,33,gs,re,2119.283691
5,34,gs,re,2144.671387
5,35,gs,re,2130.501465
5,36,gs,re,2189.837891
5,37,gs,re,2217.882568
5,38,gs,re,2179.505615
5,39,gs,re,2170.649414
6,0,gs,re,1925.077637
6,1,gs,re,1970.981812
6,2,gs,re,1946.469849
6,3,gs,re,1908.14209
6,4,gs,re,1921.06665
6,5,gs,re,1895.886108
6,6,gs,re,1933.991089
6,7,gs,re,1903.016846
6,8,gs,re,1896.109009
6,9,gs,re,1895.440552
6,10,gs,re,1900.788574
6,11,gs,re,1916.609863
6,12,gs,re,1897.223145
6,13,gs,re,1843.074097
6,14,gs,re,1496.118896
6,15,gs,re,1326.318115
6,16,gs,re,1641.407837
6,17,gs,re,1881.624634
6,18,gs,re,1944.241577
6,19,gs,re,1925.077637
6,20,gs,re,1864.466309
6,21,gs,re,1847.753662
6,22,gs,re,1828.589722
6,23,gs,re,1828.812622
6,24,gs,re,1843.742554
6,25,gs,re,1908.14209
6,26,gs,re,1904.799561
6,27,gs,re,1857.112793
6,28,gs,re,1832.823608
6,29,gs,re,1849.982056
6,30,gs,re,1831.041016
6,31,gs,re,1906.805176
6,32,gs,re,1852.210327
6,33,gs,re,1866.249023
6,34,gs,re,1914.38147
6,35,gs,re,1887.864136
6,36,gs,re,1910.370483
6,37,gs,re,1859.118286
6,38,gs,re,1851.31897
6,39,gs,re,1878.727783
7,0,gs,re,2236.269043
7,1,gs,re,2225.234131
7,2,gs,re,2213.350342
7,3,gs,re,2183.216553
7,4,gs,re,2237.54248
7,5,gs,re,2164.117676
7,6,gs,re,2192.553955
7,7,gs,re,2193.827148
7,8,gs,re,2229.053955
7,9,gs,re,2176.001465
7,10,gs,re,2156.053711
7,11,gs,re,2224.385254
7,12,gs,re,2209.955078
7,13,gs,re,2201.466797
7,14,gs,re,2124.222168
7,15,gs,re,1873.390015
7,16,gs,re,1675.185791
7,17,gs,re,1747.761719
7,18,gs,re,1962.09375
7,19,gs,re,2097.908203
7,20,gs,re,2135.681641
7,21,gs,re,2121.251221
7,22,gs,re,2086.024414
7,23,gs,re,2049.099854
7,24,gs,re,2008.355591
7,25,gs,re,2046.128906
7,26,gs,re,2090.693115
7,27,gs,re,2111.914062
7,28,gs,re,2122.100098
7,29,gs,re,2108.943115
7,30,gs,re,2142.047852
7,31,gs,re,2124.222168
7,32,gs,re,2143.745605
7,33,gs,re,2084.751221
7,34,gs,re,2097.059326
7,35,gs,re,2100.87915
7,36,gs,re,2105.123291
7,37,gs,re,2080.08252
7,38,gs,re,2100.87915
7,39,gs,re,2155.629395
8,0,gs,re,2407.550293
8,1,gs,re,2393.911377
8,2,gs,re,2414.642578
8,3,gs,re,2396.63916
8,4,gs,re,2373.180176
8,5,gs,re,2431.009277
8,6,gs,re,2415.187988
8,7,gs,re,2369.361084
8,8,gs,re,2414.096924
8,9,gs,re,2410.278076
8,10,gs,re,2396.093506
8,11,gs,re,2395.547852
8,12,gs,re,2407.004639
8,13,gs,re,2362.268799
